,titulos,precios
0,Fideo Spaghetti Don Vittorio 950g,S/. 4.20
1,Aceite Vegetal Cuisine&Co Botella 900 ml,S/. 8.90
2,Arroz Extra Costeño 5kg,S/. 21.90
3,Aceite Vegetal Primor Premium 900ml,S/. 11.50
4,Pasta Spaghetti Nro 5 Bolsa 1 Kg,S/. 3.35
5,Trozos de Atún en Aceite Vegetal Cuisine & Co Lata 170 g,S/. 4.20
6,Trozos De Atún En Aceite Vegetal Metro Lata 170 g,S/. 4.20
7,Aceite Vegetal Máxima 900ml,S/. 8.60
8,Arroz Superior Metro Bolsa 5 kg,S/. 15.70
9,Arroz Superior Paisana Bolsa 5 kg,S/. 18.80
10,Sal de Cocina Marina Emsal Bolsa 1 kg,S/. 2.20
11,Galletas Sabor Vainilla Field Paquete 37 g Pack 6 unid,S/. 4.10
12,Galletas San Jorge Soda Pack 7un,S/. 3.60
13,Galletas de Soda Field Paquete 34 g Pack 6 unid,S/. 2.70
14,Aceite Vegetal Primor Clásico 900ml,S/. 11.40
15,Sixpack Galletas Coronita con Crema de Chocolate 36g,S/. 3.99
16,Filete De Atún En Aceite Vegetal Cuisine&Co Lata 170 g,S/. 4.60
